month,starting_mrr,nrr
2023-01-01,0,
2023-02-01,1327,0.9517709118311982
2023-03-01,2499,0.9655862344937975
2023-04-01,4663,1.0008578168561013
2023-05-01,6674,0.9820197782439317
2023-06-01,9886,0.988266235079911
2023-07-01,12944,0.9814585908529048
2023-08-01,15202,0.9794763846862254
2023-09-01,17998,1.005611734637182
2023-10-01,22178,0.9890431959599604
2023-11-01,25736,0.9842632887783649
2023-12-01,29354,0.9971383797778838
2024-01-01,32309,0.9696678943947507
2024-02-01,35482,0.9903049433515585
2024-03-01,40184,1.000497710531555
2024-04-01,45294,0.9923610191195302
2024-05-01,50068,0.9883558360629544
2024-06-01,55135,0.990768114627732
2024-07-01,59697,1.0003685277317118
2024-08-01,64581,0.9818212787042628
2024-09-01,69180,0.9880023128071697
2024-10-01,75174,0.9933088567855908
2024-11-01,81743,0.9822247776568024
2024-12-01,88164,0.9893267093144594
